Supply and disposition,Gross withdrawals,Marketable production 3,Imports 4,Residential consumption,Industrial consumption 5,Commercial consumption,Exports 6,Opening inventory,Closing inventory,Inventory change
July 2016,"6,208.00","6,264.00","1,410,713.00","200,106.00","811,230.00","209,087.00","582,268.00","6,585,433.00","7,071,770.00","486,337.10"
August 2016,"6,192.10","6,213.00","1,525,755.00","189,951.00","908,832.00","223,273.00","572,029.00","7,071,770.00","7,578,875.50","507,105.50"
September 2016,"6,003.10","6,039.00","1,717,755.00","188,872.00","718,485.00","216,039.00","262,249.00","7,578,875.50","8,684,722.80","1,105,847.30"
October 2016,"6,201.60","6,289.00","1,034,197.00","283,986.00","704,161.00","329,935.00","274,985.00","8,684,722.80","8,660,635.90","-24,086.90"
November 2016,"6,214.30","6,237.00","2,035,253.00","591,081.00","802,253.00","547,952.00","214,048.00","8,660,635.90","8,583,659.90","-76,976.00"
December 2016,"6,195.20","6,218.00","2,689,155.00","974,393.00","972,722.00","724,323.00","772,194.00","8,583,659.90","7,350,583.10","-1,233,076.80"
January 2017,"6,184.10","6,211.00","2,730,087.00","1,341,317.00","995,623.00","1,118,443.00","688,597.00","7,350,583.10","5,858,928.90","-1,491,654.20"
February 2017,"6,165.20","6,218.00","2,437,409.00","1,237,828.00","937,371.00","1,106,540.00","548,354.00","5,858,928.90","4,991,584.00","-867,344.80"
March 2017,"6,168.40","6,224.00","2,799,508.00","1,177,851.00","977,149.00","1,028,236.00","612,852.00","4,991,584.00","3,856,080.00","-1,135,504.00"
April 2017,"5,978.50","6,036.00","2,388,057.00","878,243.00","768,781.00","820,228.00","97,268.00","3,856,080.00","4,375,993.90","519,913.90"
may-17,"6,169.90","6,251.00","2,188,452.00","570,984.00","743,888.00","515,468.00","101,093.00","4,375,993.90","4,852,528.50","476,534.60"
June 2017,"5,960.30","6,068.00","1,913,982.00","303,327.00","669,757.00","255,923.00","94,263.00","4,852,528.50","5,788,104.70","935,576.20"
July 2017,"6,165.20","6,255.00","1,724,573.00","193,506.00","724,195.00","221,793.00","150,781.00","5,788,104.70","6,563,437.20","775,332.50"
August 2017,"6,149.50","6,264.00","1,915,480.00","196,502.00","723,972.00","224,366.00","123,463.00","6,563,437.20","7,449,622.80","886,185.60"
September 2017,"7,768.90","7,879.00","1,974,893.00","228,688.00","767,189.00","245,729.00","75,266.00","7,449,622.80","8,474,889.60","1,025,266.80"
October 2017,"8,110.40","8,236.00","1,778,020.00","248,304.00","712,554.00","299,557.00","225,917.00","8,474,889.60","8,864,309.20","389,419.50"
November 2017,"7,377.90","7,458.00","2,585,430.00","515,467.00","852,599.00","505,587.00","378,436.00","8,864,309.20","8,685,710.40","-178,598.70"
December 2017,"7,411.30","7,507.00","2,832,331.00","1,070,073.00","1,068,978.00","962,318.00","887,030.00","8,685,710.40","6,277,957.50","-2,407,752.90"
January 2018,"7,409.40","7,505.00","2,498,956.00","1,315,262.00","1,132,386.00","1,179,886.00","972,448.00","6,277,957.50","5,189,184.40","-1,088,773.10"
February 2018,"6,445.00","6,843.00","2,426,252.00","1,173,363.00","1,032,407.00","1,054,446.00","523,471.00","5,189,184.40","4,224,681.40","-964,503.00"
