Supply and disposition,Gross withdrawals,Marketable production 3,Imports 4,Residential consumption,Industrial consumption 5,Commercial consumption,Exports 6,Opening inventory,Closing inventory,Inventory change
1/01/16,6201.6,6297,1941264,1262367,1127138,1052047,953633,8218984,6674164.2,-1544819.8
2/01/16,5797,5868,1752374,1288784,983600,1155555,752735,6674164.2,5403679.9,-1270484.3
3/01/16,6198.4,6272,2063032,1162969,993625,1066064,403187,5403679.9,5520744.2,117064.3
4/01/16,5949.7,6025,1702055,951771,748830,823661,631537,5520744.2,5053210.3,-467533.9
5/01/16,6195.2,6264,1797792,561165,765629,567285,440793,5053210.3,5811769.1,758558.9
6/01/16,5992.3,6059,1441464,264609,672159,267932,261919,5811769.1,6585433,773663.8
7/01/16,6208,6264,1410713,200106,811230,209087,582268,6585433,7071770,486337.1
8/01/16,6192.1,6213,1525755,189951,908832,223273,572029,7071770,7578875.5,507105.5
9/01/16,6003.1,6039,1717755,188872,718485,216039,262249,7578875.5,8684722.8,1105847.3
10/01/16,6201.6,6289,1034197,283986,704161,329935,274985,8684722.8,8660635.9,-24086.9
11/01/16,6214.3,6237,2035253,591081,802253,547952,214048,8660635.9,8583659.9,-76976
12/01/16,6195.2,6218,2689155,974393,972722,724323,772194,8583659.9,7350583.1,-1233076.8
13/01/16,6184.1,6211,2730087,1341317,995623,1118443,688597,7350583.1,5858928.9,-1491654.2
14/01/16,6165.2,6218,2437409,1237828,937371,1106540,548354,5858928.9,4991584,-867344.8
15/01/16,6168.4,6224,2799508,1177851,977149,1028236,612852,4991584,3856080,-1135504
16/01/16,5978.5,6036,2388057,878243,768781,820228,97268,3856080,4375993.9,519913.9
17/01/16,6169.9,6251,2188452,570984,743888,515468,101093,4375993.9,4852528.5,476534.6
18/01/16,5960.3,6068,1913982,303327,669757,255923,94263,4852528.5,5788104.7,935576.2
19/01/16,6165.2,6255,1724573,193506,724195,221793,150781,5788104.7,6563437.2,775332.5
20/01/16,6149.5,6264,1915480,196502,723972,224366,123463,6563437.2,7449622.8,886185.6
21/01/16,7768.9,7879,1974893,228688,767189,245729,75266,7449622.8,8474889.6,1025266.8
22/01/16,8110.4,8236,1778020,248304,712554,299557,225917,8474889.6,8864309.2,389419.5
23/01/16,7377.9,7458,2585430,515467,852599,505587,378436,8864309.2,8685710.4,-178598.7
24/01/16,7411.3,7507,2832331,1070073,1068978,962318,887030,8685710.4,6277957.5,-2407752.9
25/01/16,7409.4,7505,2498956,1315262,1132386,1179886,972448,6277957.5,5189184.4,-1088773.1
26/01/16,6445,6843,2426252,1173363,1032407,1054446,523471,5189184.4,4224681.4,-964503
27/01/16,6445,6525,2489362,1054825,962311,952603,704449,4224681.4,3141479.8,-1083201.6
28/01/16,7206.1,7308,2362294,872481,927481,793588,544442,3141479.8,3239201.5,97721.8
29/01/16,7487.6,7635,1648230,348660,784843,335220,64219,3239201.5,3390714.1,151512.6
30/01/16,7747.1,7789,1979114,244225,787342,242342,139180,3390714.1,4574715.3,1184001.1
31/01/16,7763,7787,2244655,189540,859671,195059,296388,4574715.3,5685840.3,1111125.1
1/02/16,7663.6,8124,2475447,193014,872743,197915,332959,5685840.3,6924729.8,1238889.5
2/02/16,7782.8,7827,2425453,308413,849407,298607,169789,6924729.8,8330207.6,1405477.7
3/02/16,7618.4,7648,2018965,638912,847443,587273,214862,8330207.6,8516772.4,186564.8
4/02/16,7362.4,7379,2914529,1032269,1012565,931112,504461,8516772.4,8231943.4,-284829
5/02/16,6802.8,6837,3155474,1139235,1050261,1025057,703530,8231943.4,7603338.8,-628604.5
6/02/16,7699.2,7463,2558097,1439519,1137854,1286915,919613,7603338.8,5540680.6,-2062658.3
7/02/16,6514.5,6518,2468749,1340903,1113810,1201344,706442,5540680.6,3692096.4,-1848584.1
8/02/16,6928.9,6869,2691762,1126010,1068158,1013035,594004,3692096.4,2684109.8,-1007986.6
